no,zmin,zmax,theta,psi
1,0.0,-0.2,0.14,NA
2,-0.2,-0.47,0.10,NA
4,-0.47,-0.57,0.10783333,NA 
5,-0.57,-0.67,0.14333333,NA 
6,-0.67,-0.77,0.18506667,NA 
7,-0.77,-0.87,0.19116667,NA 
8,-0.87,-0.97,0.19386667,NA 
9,-0.97,-1.07,0.16106667,NA 
10,-1.07,-1.17,0.14260000,NA 
11,-1.17,-1.27,0.14186667,NA 
12,-1.27,-1.37,0.14013333,NA 
13,-1.37,-1.47,0.14316667,NA 
14,-1.47,-1.57,0.15523333,NA 
15,-1.57,-1.67,0.17603333,NA 
